train_no,train_name,train_type,direction,origin,destination,departure_time,arrival_time,speed_kmh,priority_rank,is_freight
22436,Vande Bharat Express,PREMIUM_EXP,DN,NDLS,BSB,06:00,14:00,130,1,False
22435,Vande Bharat Express,PREMIUM_EXP,UP,BSB,NDLS,15:00,23:00,130,1,False
12302,Howrah Rajdhani Express,PREMIUM_EXP,DN,NDLS,HWH,16:50,10:05,130,1,False
12301,Howrah Rajdhani Express,PREMIUM_EXP,UP,HWH,NDLS,16:50,10:05,130,1,False
12424,Dibrugarh Rajdhani Express,PREMIUM_EXP,DN,NDLS,DBRG,16:20,07:00,130,1,False
12002,Bhopal Shatabdi Express,PREMIUM_EXP,DN,NDLS,RKMP,06:15,14:40,130,2,False
12001,Bhopal Shatabdi Express,PREMIUM_EXP,UP,RKMP,NDLS,15:15,23:50,130,2,False
12418,Prayagraj Express,MAIL_EXPRESS,DN,NDLS,PRYJ,22:10,07:00,110,3,False
12417,Prayagraj Express,MAIL_EXPRESS,UP,PRYJ,NDLS,22:10,07:00,110,3,False
12560,Shiv Ganga Express,MAIL_EXPRESS,DN,NDLS,BSB,20:05,06:10,110,3,False
12559,Shiv Ganga Express,MAIL_EXPRESS,UP,BSB,NDLS,22:15,08:25,110,3,False
12398,Mahabodhi Express,MAIL_EXPRESS,DN,NDLS,GAYA,12:50,02:55,110,4,False
12397,Mahabodhi Express,MAIL_EXPRESS,UP,GAYA,NDLS,14:00,04:10,110,4,False
12802,Purushottam Express,MAIL_EXPRESS,DN,NDLS,PURI,22:45,05:25,110,4,False
12420,Gomti Express,MAIL_EXPRESS,DN,NDLS,LKO,12:15,21:30,100,4,False
12419,Gomti Express,MAIL_EXPRESS,UP,LKO,NDLS,05:45,15:00,100,4,False
12276,Prayagraj Humsafar Express,MAIL_EXPRESS,DN,NDLS,PRYJ,22:30,06:20,110,4,False
64101,Ghaziabad-Aligarh EMU Local,PASSENGER,DN,GZB,ALJN,07:30,10:00,65,5,False
64102,Aligarh-Ghaziabad EMU Local,PASSENGER,UP,ALJN,GZB,08:00,10:30,65,5,False
64103,Ghaziabad-Aligarh EMU Local,PASSENGER,DN,GZB,ALJN,17:45,20:15,65,5,False
64104,Aligarh-Ghaziabad EMU Local,PASSENGER,UP,ALJN,GZB,18:15,20:45,65,5,False
G-COAL-101,Freight Coal NCL Rake,FREIGHT_BULK,DN,DER,CNB,01:30,09:40,55,9,True
G-CONT-102,CONCOR Container Express,FREIGHT_CONTAINER,DN,DER,DDU,02:15,11:30,75,8,True
G-POL-103,IOCL Petroleum Tanker,FREIGHT_BULK,UP,TDL,DER,03:00,08:30,50,9,True
G-CEM-104,Cement Bulk Carrier,FREIGHT_BULK,DN,DER,ALJN,11:30,15:00,50,9,True
G-CONT-105,CONCOR Container Express,FREIGHT_CONTAINER,UP,CNB,DER,21:00,05:30,75,8,True
