train_no,train_name,train_type,direction,origin,destination,departure_time,arrival_time,speed_kmh,priority_rank,is_freight
22436,Vande Bharat Express,PREMIUM_EXP,DN,NDLS,BSB,06:00,14:00,130,1,False
22435,Vande Bharat Express,PREMIUM_EXP,UP,BSB,NDLS,15:00,23:00,130,1,False
12302,Howrah Rajdhani Express,PREMIUM_EXP,DN,NDLS,HWH,16:50,10:05,130,1,False
12301,Howrah Rajdhani Express,PREMIUM_EXP,UP,HWH,NDLS,16:50,10:05,130,1,False
12424,Dibrugarh Rajdhani Express,PREMIUM_EXP,DN,NDLS,DBRG,16:20,07:00,130,1,False
12002,Bhopal Shatabdi Express,PREMIUM_EXP,DN,NDLS,RKMP,06:15,14:40,130,2,False
12001,Bhopal Shatabdi Express,PREMIUM_EXP,UP,RKMP,NDLS,15:15,23:50,130,2,False
12418,Prayagraj Express,MAIL_EXPRESS,DN,NDLS,PRYJ,22:10,07:00,110,3,False
12417,Prayagraj Express,MAIL_EXPRESS,UP,PRYJ,NDLS,22:10,07:00,110,3,False
12560,Shiv Ganga Express,MAIL_EXPRESS,DN,NDLS,BSB,20:05,06:10,110,3,False
12559,Shiv Ganga Express,MAIL_EXPRESS,UP,BSB,NDLS,22:15,08:25,110,3,False
12398,Mahabodhi Express,MAIL_EXPRESS,DN,NDLS,GAYA,12:50,02:55,110,4,False
12397,Mahabodhi Express,MAIL_EXPRESS,UP,GAYA,NDLS,14:00,04:10,110,4,False
12802,Purushottam Express,MAIL_EXPRESS,DN,NDLS,PURI,22:45,05:25,110,4,False
12420,Gomti Express,MAIL_EXPRESS,DN,NDLS,LKO,12:15,21:30,100,4,False
12419,Gomti Express,MAIL_EXPRESS,UP,LKO,NDLS,05:45,15:00,100,4,False
12276,Prayagraj Humsafar Express,MAIL_EXPRESS,DN,NDLS,PRYJ,22:30,06:20,110,4,False
64101,Ghaziabad-Aligarh EMU Local,PASSENGER,DN,GZB,ALJN,07:30,10:00,65,5,False
64102,Aligarh-Ghaziabad EMU Local,PASSENGER,UP,ALJN,GZB,08:00,10:30,65,5,False
64103,Ghaziabad-Aligarh EMU Local,PASSENGER,DN,GZB,ALJN,17:45,20:15,65,5,False
64104,Aligarh-Ghaziabad EMU Local,PASSENGER,UP,ALJN,GZB,18:15,20:45,65,5,False
G-COAL-101,Freight Coal NCL Rake,FREIGHT_BULK,DN,DER,CNB,01:30,09:40,55,9,True
G-CONT-102,CONCOR Container Express,FREIGHT_CONTAINER,DN,DER,DDU,02:15,11:30,75,8,True
G-POL-103,IOCL Petroleum Tanker,FREIGHT_BULK,UP,TDL,DER,03:00,08:30,50,9,True
G-CEM-104,Cement Bulk Carrier,FREIGHT_BULK,DN,DER,ALJN,11:30,15:00,50,9,True
G-CONT-105,CONCOR Container Express,FREIGHT_CONTAINER,UP,CNB,DER,21:00,05:30,75,8,True
20901,Vande Bharat Express,PREMIUM_EXP,DN,VAPI,GNC,06:00,12:25,130,1,False
20902,Vande Bharat Express,PREMIUM_EXP,UP,GNC,VAPI,14:05,20:30,130,1,False
22925,Vande Bharat Express,PREMIUM_EXP,DN,ADI,JAM,18:10,22:35,130,1,False
22926,Vande Bharat Express,PREMIUM_EXP,UP,JAM,ADI,05:30,09:50,130,1,False
12009,Mumbai-Ahmedabad Shatabdi Express,PREMIUM_EXP,DN,VAPI,ADI,06:20,12:45,130,2,False
12010,Ahmedabad-Mumbai Shatabdi Express,PREMIUM_EXP,UP,ADI,VAPI,15:10,21:35,130,2,False
12951,Tejas Rajdhani Express,PREMIUM_EXP,DN,ST,GDA,19:48,22:45,130,1,False
12952,Tejas Rajdhani Express,PREMIUM_EXP,UP,GDA,ST,04:20,07:15,130,1,False
12933,Karnavati Express,MAIL_EXPRESS,DN,VAPI,ADI,14:05,21:05,110,3,False
12934,Karnavati Express,MAIL_EXPRESS,UP,ADI,VAPI,05:00,11:55,110,3,False
12901,Gujarat Mail,MAIL_EXPRESS,DN,VAPI,ADI,21:40,05:55,110,3,False
12902,Gujarat Mail,MAIL_EXPRESS,UP,ADI,VAPI,22:50,06:20,110,3,False
12931,Double Decker Express,MAIL_EXPRESS,DN,VAPI,ADI,14:30,21:25,110,4,False
12932,Double Decker Express,MAIL_EXPRESS,UP,ADI,VAPI,05:50,12:45,110,4,False
22945,Saurashtra Mail,MAIL_EXPRESS,DN,BRC,OKHA,01:30,14:50,110,3,False
22946,Saurashtra Mail,MAIL_EXPRESS,UP,OKHA,BRC,11:05,00:30,110,3,False
22955,Kutch Express,MAIL_EXPRESS,DN,ST,BHUJ,17:50,08:30,110,4,False
22956,Kutch Express,MAIL_EXPRESS,UP,BHUJ,ST,20:15,10:45,110,4,False
12915,Ashram Express,MAIL_EXPRESS,DN,ADI,PNU,19:15,22:10,110,3,False
12916,Ashram Express,MAIL_EXPRESS,UP,PNU,ADI,03:20,06:20,110,3,False
19119,Somnath Intercity Express,MAIL_EXPRESS,DN,ADI,SMNH,10:50,19:40,100,4,False
19120,Somnath Intercity Express,MAIL_EXPRESS,UP,SMNH,ADI,06:35,15:20,100,4,False
69115,Vadodara-Ahmedabad MEMU,PASSENGER,DN,BRC,ADI,08:45,11:30,65,5,False
69116,Ahmedabad-Vadodara MEMU,PASSENGER,UP,ADI,BRC,15:30,18:15,65,5,False
69107,Surat-Vadodara MEMU Local,PASSENGER,DN,ST,BRC,06:30,09:40,65,5,False
69108,Vadodara-Surat MEMU Local,PASSENGER,UP,BRC,ST,17:15,20:25,65,5,False
G-MUNDRA-101,Mundra DFC Double Stack Container,FREIGHT_CONTAINER,DN,MDVB,PNU,01:15,08:40,75,8,True
G-MUNDRA-102,Mundra Port Double Stack Container,FREIGHT_CONTAINER,UP,PNU,MDVB,14:20,21:45,75,8,True
G-KANDLA-103,IFFCO Fertilizer Bulk Rake,FREIGHT_BULK,DN,GIMB,ADI,02:30,09:15,55,9,True
G-RELIANCE-105,RIL Jamnagar Refinery POL Tanker,FREIGHT_BULK,DN,JAM,BRC,01:45,09:30,55,9,True
G-IOCL-106,Koyali Refinery Petroleum Tanker,FREIGHT_BULK,UP,BRC,ST,02:15,06:45,50,9,True
G-PIPAVAV-104,Pipavav Port Automobile Carrier,FREIGHT_CONTAINER,DN,PPSP,VG,03:00,10:20,70,8,True
G-DAHEJ-107,Dahej Petrochem Tanker Rake,FREIGHT_BULK,DN,DHJ,BRC,04:00,08:15,50,9,True
